# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.780952          	p                 	-6.5656410021e-01	(8.3049963779e-02 -3.3658822225e-01 0.0000000000e+00)	0	4.6617535937e-01	(1.0724571003e-02 -3.7571200477e-01 0.0000000000e+00)	0
0.780952          	omega             	5.9081518400e+00	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0	7.8141746360e+04	(9.6598775825e-01 -5.9789669227e-01 0.0000000000e+00)	0
0.790476          	nut               	0.0000000000e+00	(1.2307657266e-01 -3.3789667578e-01 0.0000000000e+00)	0	9.2992737898e-04	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0
0.790476          	U                 	(5.2948554162e-01 -2.1180868262e-01 -3.6109183868e-23)	(1.0310110126e+00 -5.5377598419e-01 2.2414761618e-17)	0	(1.0173053170e+00 3.6101492799e-01 1.8276667217e-22)	(-1.0602034589e-02 -2.8852027516e-01 5.2183463799e-17)	0
0.790476          	k                 	8.1215678141e-07	(9.6525695256e-01 -5.9401433902e-01 -1.1286401998e-18)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.790476          	p                 	-6.7458869561e-01	(8.3338997309e-02 -3.3449146267e-01 0.0000000000e+00)	0	4.5414595892e-01	(1.0905993001e-02 -3.7341565420e-01 -2.2837293958e-17)	0
0.790476          	omega             	5.8321370081e+00	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0	7.8141746351e+04	(9.6555285869e-01 -5.9823370084e-01 0.0000000000e+00)	0
0.8               	nut               	0.0000000000e+00	(1.2335694778e-01 -3.3589697249e-01 0.0000000000e+00)	0	9.3699331624e-04	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0
0.8               	U                 	(8.6177482424e-01 -2.7877296153e-01 -1.2604134014e-22)	(9.8575348939e-01 -4.7816083202e-01 0.0000000000e+00)	0	(1.0978058906e+00 4.3014206915e-01 2.0481369210e-22)	(1.4056952956e-02 -2.9250423540e-01 2.2187327042e-17)	0
0.8               	k                 	7.7565973764e-07	(9.6483037134e-01 -5.9432786684e-01 0.0000000000e+00)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.8               	p                 	-6.7741295987e-01	(8.3628879522e-02 -3.3238257874e-01 0.0000000000e+00)	0	4.5981636915e-01	(1.1089190250e-02 -3.7110758719e-01 0.0000000000e+00)	0
0.8               	omega             	5.7609337855e+00	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0	7.8141746343e+04	(9.6511468212e-01 -5.9854802584e-01 0.0000000000e+00)	0
0.809091          	nut               	0.0000000000e+00	(1.2362515572e-01 -3.3397608741e-01 0.0000000000e+00)	0	9.4329761832e-04	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0
0.809091          	U                 	(5.1982077848e-01 -2.0865425919e-01 -3.2881556480e-23)	(1.0303889395e+00 -5.5472087998e-01 7.2145911304e-18)	0	(1.2161848338e+00 3.5296293183e-01 1.4449213208e-22)	(4.4837653517e-02 -2.7234333332e-01 -1.6086030304e-17)	0
0.809091          	k                 	7.5123810396e-07	(9.6442005598e-01 -5.9460606540e-01 0.0000000000e+00)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.809091          	p                 	-9.7063875561e-01	(8.3906411348e-02 -3.3035783973e-01 0.0000000000e+00)	0	1.7132937049e-01	(1.1265726463e-02 -3.6889306645e-01 0.0000000000e+00)	0
0.809091          	omega             	5.6968139883e+00	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0	7.8141746334e+04	(9.6469333250e-01 -5.9882695329e-01 0.0000000000e+00)	0
0.818182          	nut               	0.0000000000e+00	(1.2389399896e-01 -3.3204278822e-01 0.0000000000e+00)	0	9.4914351912e-04	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0
0.818182          	U                 	(8.3976420541e-01 -6.5518324237e-02 -9.9136368541e-23)	(-9.4847451182e-03 -5.2702968980e-01 -3.0315402046e-17)	0	(1.1032308287e+00 2.6390853609e-01 1.7706953600e-22)	(3.2542724962e-03 -2.3314364037e-01 0.0000000000e+00)	0
0.818182          	k                 	7.2790186731e-07	(9.6400659970e-01 -5.9486376872e-01 -3.8544633797e-17)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.818182          	p                 	-7.8632162734e-01	(8.4184822041e-02 -3.2832100909e-01 0.0000000000e+00)	0	3.5368055230e-01	(1.1443925597e-02 -3.6666673615e-01 -9.6831815968e-19)	0
0.818182          	omega             	5.6364484323e+00	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0	7.8141746332e+04	(9.6426887176e-01 -5.9908535468e-01 0.0000000000e+00)	0
0.827273          	nut               	0.0000000000e+00	(1.2416343741e-01 -3.3009726249e-01 0.0000000000e+00)	0	9.5452794422e-04	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0
0.827273          	U                 	(5.1005510675e-01 -2.0537021809e-01 -3.5766346650e-23)	(1.0297657180e+00 -5.5555974801e-01 2.2414761618e-17)	0	(1.2006018614e+00 5.9307843773e-01 6.7781129996e-23)	(2.8578087647e-02 -3.0894064065e-01 -4.5480517416e-17)	0
0.827273          	k                 	7.0105156453e-07	(9.6359008303e-01 -5.9510095365e-01 2.5320209131e-17)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.827273          	p                 	-7.4435609903e-01	(8.4464068176e-02 -3.2627228489e-01 0.0000000000e+00)	0	4.0570646550e-01	(1.1623750241e-02 -3.6442881621e-01 0.0000000000e+00)	0
0.827273          	omega             	5.5796774673e+00	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0	7.8141746327e+04	(9.6384138158e-01 -5.9932320704e-01 0.0000000000e+00)	0
0.836364          	nut               	0.0000000000e+00	(1.2443342977e-01 -3.2813970282e-01 0.0000000000e+00)	0	9.5944850857e-04	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0
0.836364          	U                 	(5.0311664444e-01 -1.9797339973e-01 -4.7390148836e-23)	(9.0858452428e-01 -5.2383399112e-01 6.6854090896e-17)	0	(1.0133235148e+00 2.4660649353e-01 1.0970836225e-22)	(-5.0471288748e-02 -2.3976222834e-01 0.0000000000e+00)	0
0.836364          	k                 	6.6904332497e-07	(9.6317058923e-01 -5.9531759687e-01 0.0000000000e+00)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.836364          	p                 	-7.2993315035e-01	(8.4744104960e-02 -3.2421187047e-01 0.0000000000e+00)	0	4.3542194976e-01	(1.1805161706e-02 -3.6217953245e-01 1.1418646979e-17)	0
0.836364          	omega             	5.5263519172e+00	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0	7.8141746320e+04	(9.6341094637e-01 -5.9954048724e-01 0.0000000000e+00)	0
